Title	Artist	Dance	Season	Episode	Notes
"Domino"	Jessie J	Cha Cha	18	Week 1 - performance	Kellie & Derek
"Daylight"	Maroon 5	Foxtrot	18	Week 1 - performance	Victor & Lindsay
"Yellow"	Coldplay	Contemporary	18	Week 1 - performance	Ingo & Kym
"Ac-Cent-Tchu-Ate The Positive"	Aretha Franklin	Foxtrot	18	Week 1 - performance	Lisa & Gleb
"Low"	Flo Rida	Cha Cha	18	Week 1 - performance	D.L. & Cheryl
"Feel Again"	OneRepublic	Contemporary	18	Week 1 - performance	Zendaya & Val
"The Power of Love"	Huey Lewis and The News	Foxtrot	18	Week 1 - performance	Sean & Peta
"Live While We're Young"	One Direction	Cha Cha	18	Week 1 - performance	Alexandra & Mark
"Tiny Dancer"	Elton John	Contemporary	18	Week 1 - performance	Dorothy & Tristan
"I've Got The Music In Me"	Thelma Houston	Cha Cha	18	Week 1 - performance	Wynonna & Tony
"Witchcraft"	Frank Sinatra	Foxtrot	18	Week 1 - performance	Andy & Sharna
"Good Feeling"	Flo Rida	Cha Cha	18	Week 1 - performance	Jacoby & Karina
"Billy-A-Dick"	Bette Midler	Quickstep	18	Week 2 - performance	Ingo & Kym
"Chantilly Lace"	Jerry Lee Lewis	Jive	18	Week 2 - performance	Dorothy & Tristan
"Five Guys Named Moe"	Louis Jordan	Jazz	18	Week 2 - performance	Jacoby & Karina
"Runaway Baby"	Bruno Mars	Jive	18	Week 2 - performance	Victor & Lindsay
"Neutron Dance"	The Pointer Sisters	Quickstep	18	Week 2 - performance	Wynonna & Tony
"This Head I Hold"	Electric Guest	Jive	18	Week 2 - performance	Zendaya & Val
"Poker Face"	Lady Gaga	Jazz	18	Week 2 - performance	Andy & Sharna
"Into Action"	Tim Armstrong	Jive	18	Week 2 - performance	Sean & Peta
"Jumpin' Jack"	Big Bad Voodoo Daddy	Quickstep	18	Week 2 - performance	Alexandra & Mark
"One Way Or Another (Teenage Kicks)"	One Direction	Jive	18	Week 2 - performance	Lisa & Gleb
"It Don't Mean A Thing"	Club Des Belugas	Quickstep	18	Week 2 - performance	D.L. & Cheryl
"Lights"	Ellie Goulding	Jazz	18	Week 2 - performance	Kellie & Derek
"Right Now"	The Pussycat Dolls	The Pros and DWTS Troupe	18	Week 2 - results	Opening Number
"Go Get It"	Sepalot feat. Ladi6		18	Week 2 - results	Tony & Cheryl's Dance
"I Love It"	Icona Pop		18	Week 2 - results	Live Performance
"Right Now"	Rihanna feat. David Guetta	Gleb, Lindsay, Julian & Witney	18	Week 2 - results	"New Faces"
"Runaway Baby"	Bruno Mars		18	Week 2 - results	The DWTS Troupe
"Brave"	Josh Groban		18	Week 2 - results	Live Performance
"The Rockafeller Skank"	Fatboy Slim	Group Dance	18	Week 3 - performance	w/ all 11 couples
"Give Me Love"	Ed Sheeran	Viennese Waltz	18	Week 3 - performance	Alexandra & Mark
"Da Ya Think I'm Sexy?"	Rod Stewart	Cha Cha	18	Week 3 - performance	Andy & Sharna
"Another One Bites the Dust"	Queen	Paso Doble	18	Week 3 - performance	Ingo & Kym
"I Have Nothing"	Whitney Houston	Viennese Waltz	18	Week 3 - performance	Lisa & Gleb
"Footloose"	Kenny Loggins	Jive	18	Week 3 - performance	Kellie & Derek
"Get Up (I Feel Like Being A) Sex Machine"	James Brown	Salsa	18	Week 3 - performance	D.L. & Cheryl
"Slow Dancing In A Burning Room"	John Mayer	Contemporary	18	Week 3 - performance	Victor & Lindsay
"Stay"	Rihanna feat. Mikky Ekko	Rumba	18	Week 3 - performance	Jacoby & Karina
"Pour Some Sugar On Me"	Def Leppard	Samba	18	Week 3 - performance	Wynonna & Tony
"Y.M.C.A."	Village People	Cha Cha	18	Week 3 - performance	Sean & Peta
"Que Sera, Sera (Whatever Will Be, Will Be)"	Doris Day	Viennese Waltz	18	Week 3 - performance	Zendaya & Val
"The Heart of Rock & Roll"	Huey Lewis And The News	The DWTS Troupe & More	18	Week 3 - results	Live Performance
"A Little Less Conversation"	Junkie XL feat. Elvis Presley		18	Week 3 - results	Tristan, Lindsay & Emma
"Seven Nation Army"	The White Stripes	Tony, Val, Sasha, Henry & Julian	18	Week 3 - results	The Guys Dance! Tristan, Mark, Gleb, Derek,
"The Rockafeller Skank"	Fatboy Slim	Oksana & More	18	Week 3 - results	Peter, Sharna, Sasha,
"Locked Out Of Heaven"	Bruno Mars		18	Week 3 - results	The Macy's Performance
"Heart Attack"	Demi Lovato	The DWTS Troupe	18	Week 3 - results	Live Performance
"Gone, Gone, Gone"	Phillip Phillips		18	Week 3 - results	The Last Dance: Wynonna & Tony
"I Won't Give Up"	Jason Mraz	Viennese Waltz	18	Week 4 - performance	Sean & Peta
"We Will Rock You"	Queen	Paso Doble	18	Week 4 - performance	Victor & Lindsay
"Watching You"	Rodney Atkins	Foxtrot	18	Week 4 - performance	Jacoby & Karina
"Titanium"	Madilyn Bailey	Contemporary	18	Week 4 - performance	Alexandra & Mark
"Hallelujah"	Jeff Buckley	Viennese Waltz	18	Week 4 - performance	Andy & Sharna
"Love on Top"	Beyonce	Samba	18	Week 4 - performance	Zendaya & Val
"A Thousand Years	Christina Perri	Viennese Waltz	18	Week 4 - performance	Ingo & Kym
"I Just Want To Make Love To You"	Etta James	Foxtrot	18	Week 4 - performance	D.L. & Cheryl
"Say I Do"	Kyle Jacobs	Rumba	18	Week 4 - performance	Kellie & Derek
"Celebration"	Kool & The Gang	Cha Cha	18	Week 4 - performance	Lisa & Gleb
"Here Come The Girls / Run The World (Girls)"	Ernie K-Doe / Beyonce	Cheryl, Emma, Oksana & Witney	18	Week 4 - results	Sharna, Kym, Peta, Lindsay, Karina,
"Love On Top"	Beyonce		18	Week 4 - results	Sasha & Emma
"We Will Rock You"	Queen		18	Week 4 - results	Henry, Julian, Witney & Oksana
"Southern Comfort Zone"	Brad Paisley	Tony & Peta	18	Week 4 - results	Live Performance
"Right Now"	Rihanna feat. David Guetta		18	Week 4 - results	DWTS Troupe Dancers
"Stars"	Grace Potter And The Nocturnals	Brilynn Rakes & Derek	18	Week 4 - results	Spotlight Performance
"Quizas, Quizas, Quizas"	Andrea Bocelli feat. Jennifer Lopez	Val & Anna	18	Week 4 - results	Live Performance
"It Must Have Been Love"	Roxette		18	Week 4 - results	The Last Dance: Lisa & Gleb
"Don't Stop The Party"	Pitbull feat. TJR	Henry, Sasha, Emma & Witney	18	Week 5 - performance	Pro Opening All nine couples, Tony, Maks, Tristan, Gleb, Julian, Chelsie, Anna,
"Lady Marmalade"	Christina Aguilera, Lil' Kym, Mya & Pink	Cha Cha	18	Week 5 - performance	Ingo & Kym w/ Tony & Emma
"Long Tall Sally"	Little Richard	Jive	18	Week 5 - performance	Jacoby & Karina w/ Maks & Anna
"Never Tear Us Apart"	INXS	Viennese Waltz	18	Week 5 - performance	Victor & Lindsay w/ Tristan & Emma
"Misery"	Maroon 5	Samba	18	Week 5 - performance	Alexandra & Mark w/ Tony & Witney
