Title	Artist	Album	Length	Track	AmazonTrack	BPM	Dance
Con Todo Mi Corazon	The Salsa Kings	The Best Latin Pool Party Album Ever	202	3	D:B001BCS7NS	92	Salsa
Acid	Ray Barretto	Acid	307	3	D:B008AZY1XY	82	Salsa
Mi Son	Conjunto Candela	Conjunto Candela, Vol. 2	347	4	D:B0050AC7T2	76	Salsa
Detalles	Oscar D'León	El Verdadero Leon	279	1	D:B000SFRV04	87	Salsa
Baila Gitana	Cuco Valoy Y Su Nueva Tribu	A Peticion Popular...Salsa	305	6	D:B007PUPZ2G	79	Salsa
Tiembela	Africando	Martina	236	7	D:B000QL9Q58	76	Salsa
Juliana	DLG	Renacer	350	11	D:B00170HN84	93	Salsa
La Llave	Grupo Latin Vibe	All That Vibe	368	5	D:B0019G9MXU	82	Salsa
Que Bueno Baila Usted	Oscar D'León	El Verdadero Leon	215	2	D:B000SFNWES	93	Salsa
Yamulemau	Joe Arroyo Y La Verdad	Greatest Salsa Classics Of Colombia - Vol. 1	269	13	D:B000QNFOCU	82	Salsa
Bonito Y Sabroso	Oscar D'León	Aqui Esta La Salsa	222	3	D:B000S3VORC	83	Salsa
Caramelo A Kilo	Papaito	Lo Mejor De Papaito / Vol. 1	267	2	D:B00108JYJO	80	Salsa
Sonero	Papaito	Lo Mejor De Papaito / Vol. 1	399	6	D:B00108F3V2	76	Salsa
Woodchopper's Ball (Wood Herman Version)	Glen Gray	Swing Era 1938-1939 Cd004	196	5	D:B000QVY18U		Swing
Big Apple Contest	The Solomon Douglas Swingtet	Swingmatism	177	3	D:B00129OK1I		Swing
On Revival Day (LP Version)	LaVern Baker	Sings Bessie Smith	193	3	D:B002YSI13Y	144	Swing
Bill Bailey Won't You Please Come Home	Ella Fitzgerald	Something To Live For	203	11	D:B0013XOF90	128	Swing
Shiny Stockings	Count Basie & His Orchestra	April In Paris	314	6	D:B000V8IUZI	123	Swing
All Right Okay You Win (Live (1957/Newport))	Count Basie	Count Basie At Newport	165	9	D:B000WLJEUY	146	Swing
Happy Go Lucky Local (Album Version)	Duke Ellington	The Duke: The Columbia Years (1927-1962)	181	13	D:B0013D1Z48	136	Swing
All That Meat & No Potatoes (Remastered)	Fats Waller	Fats Waller: Very Best of Fats Waller	167	10	D:B00138009Y	137	Swing
Bearcat Shuffle	Andy Kirk And His Twelve Clouds Of Joy	1930-1941	182	8	D:B001ZWR5JG	155	Swing
Beaver Junction	Count Basie & His Orchestra	America's #1 Band	177	23	D:B00138BPY8	162	Swing
Corner Pocket	Count Basie & His Orchestra	April In Paris	315	2	D:B000V8MJUU	140	Swing
Tuxedo Junction (1989 Remastered)	Erskine Hawkins and His Orchestra	Tuxedo Junction	199	4	D:B0013AVFFA	155	Swing
Shake That Thing	Wynonie Harris	Risque Blues - It Ain't The Meat	137	2	D:B002LHJP56	139	Swing
Indigo Swing	Indigo Swing	Red Door Blues	3011		D:B001A3A5XS		Swing
Le Ballet (Album Version)	Celine Dion	The French Album	263	2	D:B001382RFE	84	West Coast Swing
You Are the Best Thing	Ray LaMontagne	Gossip In The Grain	231	1	D:B001HDYF9Q	85	West Coast Swing
