Title	Artist	Dance	Album
Flora's Secret	Enya	Viennese Waltz	
Walk on the Ocean	John Mayer	Viennese Waltz	
Gira Con Me Questa Notte	Josh Groban	Viennese Waltz	Josh Groban
Breathe (2 AM)	Anna Nalick	Viennese Waltz	Wreck of the Day
Kiss from a Rose	Seal	Viennese Waltz	
Valse de Amelie	unknown	Viennese Waltz	ballroom fantasy
Prologue	John Williams	Viennese Waltz	Harry Potter & The Sorcerer's Stone Original Soundtrack
Siempre Te Amare	Aida Cuevas	Viennese Waltz	2002 Latin Grammy nominees
Turning	Suzanne Ciani	Viennese Waltz	Turning
Eclipse	Pink Floyd	Viennese Waltz	Dark Side of the Moon
Daughters	John Mayer	Viennese Waltz	
Si Volvieras A Mi	Josh Groban	Viennese Waltz	Closer
Stay With Me (Brass Bed)	Josh Gracin	Viennese Waltz	Josh Gracin
Breathe (2am)	Anna Nalick	Viennese Waltz	Wreck of the Day
Breakaway	Kelly Clarkson	Viennese Waltz	Breakaway
Reach	Idina Menzel	Waltz	
You Raise Me Up	Josh Groban	Waltz	
Breakaway	Kelly Clarkson	Waltz	
Earth	Lisa Gerrard & Hans Zimmer	Waltz	Galdiator Soundtrack, Casa Musica Best of Ballroom Part 9
My Skin	Natalie Merchant	Waltz	Ophelia
Vito's Waltz	101 Strings Orchestra	Waltz	Ultimate Ballroom 8
Theme from "sunshine"	unknown	Waltz	ballroom fantasy
It is You from "shrek"	unknown	Waltz	ballroom fantasy
Brothers	unknown	Waltz	ballroom fantasy
Winter Waltz	Lugo	Waltz	ballroom choice
Ta Me Mo shui	Altan	Waltz	ballroom choice
Theme from "Cider House Rules"	unknown	Waltz	standard music
The Patriot	unknown	Waltz	standard music
Fascination	Nat King Cole	Waltz	
Illusion	Nat King Cole	Waltz	
Casi un Bolero	Ricky Martin	Bolero	Vuelve
Emotions	Destiny's Child	Bolero	
Beautiful Maria Of My Soul	Mambo All Stars	Bolero	The Mambo Kings Soundtrack
Jesus to a Child	George Michael	Bolero	Ladies & Gentlemen: The Best of George Michael
No Matter What	Boyzone	Bolero	Andrew Lloyd Webber: Gold - The Definitive Hits Collection
Don't	Shania Twain	Bolero	Greatest Hits
Senor Bolero	Jose Feliciano	Bolero	Senor Bolero
My All	Mariah Carey	Bolero	
Beautiful Maria Of My Soul	Mambo All Stars	Bolero	The Mambo Kings Soundtrack
Besame Mucho	Nana Mouskouri	Bolero	
